!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E6'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E6T1326	13.26	464.9386	1	1437.824	1	3097.445	1	35654.8659	1
E6T1327	13.27	464.0964	1	1439.2648	1	3097.6352	1	35656.5855	1
E6T1328	13.28	463.2544	1	1440.7039	1	3097.8251	1	35658.3065	1
E6T1329	13.29	462.4127	1	1442.1411	1	3098.0148	1	35660.0289	1
E6T1330	13.3	461.5714	1	1443.5766	1	3098.2042	1	35661.7528	1
E6T1331	13.31	460.7303	1	1445.0103	1	3098.3934	1	35663.4781	1
E6T1332	13.32	459.8896	1	1446.4422	1	3098.5824	1	35665.2047	1
E6T1333	13.33	459.0492	1	1447.8722	1	3098.771	1	35666.9328	1
E6T1334	13.34	458.2092	1	1449.3005	1	3098.9595	1	35668.6623	1
E6T1335	13.35	457.3695	1	1450.727	1	3099.1477	1	35670.3931	1
E6T1336	13.36	456.5302	1	1452.1517	1	3099.3356	1	35672.1253	1
E6T1337	13.37	455.6913	1	1453.5746	1	3099.5233	1	35673.8588	1
E6T1338	13.38	454.8529	1	1454.9957	1	3099.7107	1	35675.5936	1
E6T1339	13.39	454.0148	1	1456.415	1	3099.8979	1	35677.3297	1
E6T1340	13.4	453.1772	1	1457.8325	1	3100.0848	1	35679.0672	1
E6T1341	13.41	452.3401	1	1459.2482	1	3100.2715	1	35680.8059	1
E6T1342	13.42	451.5034	1	1460.6622	1	3100.4579	1	35682.5459	1
E6T1343	13.43	450.6672	1	1462.0743	1	3100.6441	1	35684.2872	1
E6T1344	13.44	449.8315	1	1463.4846	1	3100.83	1	35686.0297	1
E6T1345	13.45	448.9962	1	1464.8932	1	3101.0157	1	35687.7735	1
E6T1346	13.46	448.1615	1	1466.3	1	3101.2011	1	35689.5185	1
E6T1347	13.47	447.3274	1	1467.705	1	3101.3863	1	35691.2647	1
E6T1348	13.48	446.4937	1	1469.1082	1	3101.5712	1	35693.0121	1
E6T1349	13.49	445.6607	1	1470.5096	1	3101.7558	1	35694.7608	1
E6T1350	13.5	444.8282	1	1471.9092	1	3101.9402	1	35696.5106	1
E6T1351	13.51	443.9962	1	1473.307	1	3102.1243	1	35698.2616	1
E6T1352	13.52	443.1649	1	1474.7031	1	3102.3082	1	35700.0137	1
E6T1353	13.53	442.3341	1	1476.0973	1	3102.4918	1	35701.767	1
E6T1354	13.54	441.504	1	1477.4898	1	3102.6752	1	35703.5214	1
E6T1355	13.55	440.6745	1	1478.8805	1	3102.8583	1	35705.277	1
E6T1356	13.56	439.8456	1	1480.2694	1	3103.0412	1	35707.0336	1
E6T1357	13.57	439.0174	1	1481.6565	1	3103.2237	1	35708.7914	1
E6T1358	13.58	438.1899	1	1483.0419	1	3103.4061	1	35710.5503	1
E6T1359	13.59	437.363	1	1484.4255	1	3103.5881	1	35712.3103	1
E6T1360	13.6	436.5368	1	1485.8073	1	3103.7699	1	35714.0713	1
E6T1361	13.61	435.7113	1	1487.1873	1	3103.9515	1	35715.8334	1
E6T1362	13.62	434.8865	1	1488.5655	1	3104.1328	1	35717.5965	1
E6T1363	13.63	434.0624	1	1489.942	1	3104.3138	1	35719.3607	1
E6T1364	13.64	433.239	1	1491.3166	1	3104.4946	1	35721.1259	1
E6T1365	13.65	432.4164	1	1492.6895	1	3104.6751	1	35722.8922	1
E6T1366	13.66	431.5945	1	1494.0607	1	3104.8554	1	35724.6595	1
E6T1367	13.67	430.7734	1	1495.43	1	3105.0354	1	35726.4277	1
E6T1368	13.68	429.953	1	1496.7976	1	3105.2151	1	35728.197	1
E6T1369	13.69	429.1334	1	1498.1634	1	3105.3946	1	35729.9672	1
E6T1370	13.7	428.3146	1	1499.5275	1	3105.5738	1	35731.7384	1
E6T1371	13.71	427.4966	1	1500.8897	1	3105.7527	1	35733.5105	1
E6T1372	13.72	426.6794	1	1502.2502	1	3105.9314	1	35735.2837	1
E6T1373	13.73	425.8631	1	1503.609	1	3106.1098	1	35737.0577	1
E6T1374	13.74	425.0475	1	1504.9659	1	3106.288	1	35738.8327	1
E6T1375	13.75	424.2328	1	1506.3211	1	3106.4659	1	35740.6086	1
E6T1376	13.76	423.4189	1	1507.6746	1	3106.6435	1	35742.3854	1
E6T1377	13.77	422.6059	1	1509.0262	1	3106.8209	1	35744.1631	1
E6T1378	13.78	421.7938	1	1510.3762	1	3106.998	1	35745.9417	1
E6T1379	13.79	420.9825	1	1511.7243	1	3107.1748	1	35747.7212	1
E6T1380	13.8	420.1721	1	1513.0707	1	3107.3514	1	35749.5016	1
E6T1381	13.81	419.3626	1	1514.4153	1	3107.5278	1	35751.2828	1
E6T1382	13.82	418.554	1	1515.7582	1	3107.7038	1	35753.0649	1
E6T1383	13.83	417.7463	1	1517.0993	1	3107.8796	1	35754.8479	1
E6T1384	13.84	416.9396	1	1518.4387	1	3108.0551	1	35756.6316	1
E6T1385	13.85	416.1337	1	1519.7763	1	3108.2304	1	35758.4162	1
E6T1386	13.86	415.3288	1	1521.1121	1	3108.4054	1	35760.2016	1
E6T1387	13.87	414.5249	1	1522.4462	1	3108.5801	1	35761.9879	1
E6T1388	13.88	413.7219	1	1523.7785	1	3108.7546	1	35763.7749	1
E6T1389	13.89	412.9198	1	1525.1091	1	3108.9288	1	35765.5627	1
E6T1390	13.9	412.1188	1	1526.438	1	3109.1027	1	35767.3513	1
E6T1391	13.91	411.3187	1	1527.7651	1	3109.2764	1	35769.1406	1
E6T1392	13.92	410.5195	1	1529.0904	1	3109.4498	1	35770.9308	1
