1.013900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.013900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.014000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.014000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.014100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.014100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.014200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.014200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.014300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.014300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.014400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.014400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.014500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.014500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.014600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.014600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.014700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.014700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.014800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.014800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.014900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.014900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.015000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.015000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.015100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.015100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.015200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.015200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.015300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.015300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.015400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.015400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.015500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.015500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.015600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.015600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.015700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.015700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.015800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.015800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.015900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.015900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.016000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.016000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.016100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.016100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.016200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.016200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.016300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.016300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.016400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.016400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.016500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.016500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.016600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.016600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.016700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.016700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.016800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.016800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.016900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.016900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.017000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.017000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.017100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.017100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.017200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.017200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.017300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.017300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.017400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.017400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.017500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.017500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.017600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.017600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.017700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.017700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.017800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.017800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.017900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.017900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.018000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.018000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.018100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.018100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.018200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.018200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.018300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.018300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.018400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.018400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.018500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.018500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.018600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.018600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.018700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.018700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.018800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.018800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.018900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.018900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.019000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.019000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.019100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.019100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.019200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.019200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.019300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.019300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.019400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.019400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.019500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.019500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.019600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.019600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.019700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.019700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.019800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.019800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.019900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.019900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.020000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.020000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.020100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.020100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.020200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.020200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.020300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.020300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.020400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.020400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.020500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.020500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.020600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.020600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.020700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.020700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.020800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.020800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.020900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.020900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.021000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.021000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.021100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.021100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.021200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.021200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.021300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.021300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
