!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E3'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E3T156	1.56	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T157	1.57	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T158	1.58	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T159	1.59	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T160	1.6	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T161	1.61	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T162	1.62	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T163	1.63	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T164	1.64	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T165	1.65	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T166	1.66	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T167	1.67	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T168	1.68	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T169	1.69	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T170	1.7	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T171	1.71	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T172	1.72	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T173	1.73	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T174	1.74	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T175	1.75	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T176	1.76	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T177	1.77	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T178	1.78	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T179	1.79	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T180	1.8	84.4788	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T181	1.81	84.4787	1	2672.0895	1	3200.5266	1	36817.5165	1
E3T182	1.82	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T183	1.83	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T184	1.84	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T185	1.85	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
