!!SBtab	SBtabVersion='1.0' Document='D1_LTP_time_window_SBtab' TableName='E1I' TableTitle='D1_LTP_time_window_SBtab E1I' TableType = 'QuantityMatrix'			
!ID	!Input_Time_S24	>S24	!Input_Time_S48	>S48
E1IT495	4.95	4982.9279	4.95	20.2004
E1IT496	4.96	5128.187	4.96	20.1957
E1IT497	4.97	5186.3579	4.97	20.1912
E1IT498	4.98	5175.5451	4.98	20.1868
E1IT499	4.99	5035.8398	4.99	20.1825
E1IT500	5	4806.0969	5	20.1783
E1IT501	5.01	4527.6727	5.01	20.1742
E1IT502	5.02	4227.3875	5.02	20.1702
E1IT503	5.03	3922.3535	5.03	20.1663
E1IT504	5.04	3623.2229	5.04	20.1625
E1IT505	5.05	3336.3705	5.05	20.1587
E1IT506	5.06	3065.3582	5.06	20.1551
E1IT507	5.07	2811.9167	5.07	20.1515
E1IT508	5.08	2576.6013	5.08	20.148
E1IT509	5.09	2359.2289	5.09	20.1446
E1IT510	5.1	2159.1683	5.1	20.1413
E1IT511	5.11	1975.5308	5.11	20.138
E1IT512	5.12	1807.2954	5.12	20.1348
E1IT513	5.13	1653.3895	5.13	20.1317
E1IT514	5.14	1512.7393	5.14	20.1287
E1IT515	5.15	1384.302	5.15	20.1257
E1IT516	5.16	1267.0834	5.16	20.1228
E1IT517	5.17	1160.1482	5.17	20.12
E1IT518	5.18	1062.6243	5.18	20.1172
E1IT519	5.19	973.7038	5.19	20.1145
E1IT520	5.2	892.6412	5.2	20.1119
E1IT521	5.21	818.7513	5.21	20.1093
E1IT522	5.22	751.4058	5.22	20.1068
E1IT523	5.23	690.029	5.23	20.1043
E1IT524	5.24	634.095	5.24	20.1019
E1IT525	5.25	583.1228	5.25	20.0996
E1IT526	5.26	536.6736	5.26	20.0973
E1IT527	5.27	494.347	5.27	20.0951
E1IT528	5.28	455.7776	5.28	20.0929
E1IT529	5.29	420.6323	5.29	20.0907
E1IT530	5.3	388.6074	5.3	20.0886
E1IT531	5.31	359.426	5.31	20.0866
E1IT532	5.32	332.8357	5.32	20.0846
E1IT533	5.33	308.6066	5.33	20.0827
E1IT534	5.34	286.529	5.34	20.0808
E1IT535	5.35	266.412	5.35	20.0789
E1IT536	5.36	248.0814	5.36	20.0771
E1IT537	5.37	231.3787	5.37	20.0753
E1IT538	5.38	216.1592	5.38	20.0736
E1IT539	5.39	202.2913	5.39	20.0719
E1IT540	5.4	189.6549	5.4	20.0702
E1IT541	5.41	178.1407	5.41	20.0686
E1IT542	5.42	167.6491	5.42	20.067
E1IT543	5.43	158.0892	5.43	20.0655
E1IT544	5.44	149.3782	5.44	20.064
E1IT545	5.45	141.4409	5.45	20.0625
E1IT546	5.46	134.2084	5.46	20.0611
E1IT547	5.47	127.6182	5.47	20.0596
E1IT548	5.48	121.6133	5.48	20.0583
E1IT549	5.49	116.1416	5.49	20.0569
E1IT550	5.5	111.1559	5.5	20.0556
E1IT551	5.51	106.6129	5.51	20.0543
E1IT552	5.52	102.4734	5.52	20.0531
E1IT553	5.53	98.7015	5.53	20.0519
E1IT554	5.54	95.2645	5.54	20.0507
E1IT555	5.55	92.1328	5.55	20.0495
E1IT556	5.56	89.2792	5.56	20.0484
E1IT557	5.57	86.679	5.57	20.0473
E1IT558	5.58	84.3097	5.58	20.0462
E1IT559	5.59	82.1509	5.59	20.0451
E1IT560	5.6	80.1837	5.6	20.0441
E1IT561	5.61	78.3913	5.61	20.043
E1IT562	5.62	76.758	5.62	20.0421
E1IT563	5.63	75.2698	5.63	20.0411
E1IT564	5.64	73.9137	5.64	20.0401
E1IT565	5.65	72.6781	5.65	20.0392
E1IT566	5.66	71.5522	5.66	20.0383
E1IT567	5.67	70.5263	5.67	20.0374
E1IT568	5.68	69.5915	5.68	20.0366
E1IT569	5.69	68.7397	5.69	20.0357
E1IT570	5.7	67.9636	5.7	20.0349
E1IT571	5.71	67.2564	5.71	20.0341
E1IT572	5.72	66.6119	5.72	20.0333
E1IT573	5.73	66.0248	5.73	20.0325
E1IT574	5.74	65.4897	5.74	20.0318
E1IT575	5.75	65.0022	5.75	20.0311
E1IT576	5.76	64.558	5.76	20.0303
E1IT577	5.77	64.1532	5.77	20.0297
E1IT578	5.78	63.7844	5.78	20.029
E1IT579	5.79	63.4483	5.79	20.0283
E1IT580	5.8	63.1421	5.8	20.0276
E1IT581	5.81	62.863	5.81	20.027
E1IT582	5.82	62.6088	5.82	20.0264
E1IT583	5.83	62.3771	5.83	20.0258
E1IT584	5.84	62.166	5.84	20.0252
E1IT585	5.85	61.9736	5.85	20.0246
E1IT586	5.86	61.7984	5.86	20.024
E1IT587	5.87	61.6387	5.87	20.0235
E1IT588	5.88	61.4931	5.88	20.0229
E1IT589	5.89	61.3605	5.89	20.0224
E1IT590	5.9	61.2397	5.9	20.0219
E1IT591	5.91	61.1296	5.91	20.0214
E1IT592	5.92	61.0293	5.92	20.0209
E1IT593	5.93	60.9379	5.93	20.0204
E1IT594	5.94	60.8546	5.94	20.02
E1IT595	5.95	60.7787	5.95	20.0195
E1IT596	5.96	60.7096	5.96	20.019
E1IT597	5.97	60.6465	5.97	20.0186
E1IT598	5.98	60.5891	5.98	20.0182
E1IT599	5.99	60.5368	5.99	20.0178
E1IT600	6	60.4891	6	20
E1IT601	6.01	60.4457	6.01	20
E1IT602	6.02	60.4061	6.02	20
E1IT603	6.03	60.37	6.03	20
E1IT604	6.04	60.3372	6.04	20
E1IT605	6.05	60.3072	6.05	20
E1IT606	6.06	60.28	6.06	20
E1IT607	6.07	60.2551	6.07	20
E1IT608	6.08	60.2324	6.08	20
E1IT609	6.09	60.2118	6.09	20
E1IT610	6.1	60.193	6.1	20
E1IT611	6.11	60.1758	6.11	20
E1IT612	6.12	60.1602	6.12	20
E1IT613	6.13	60.146	6.13	20
E1IT614	6.14	60.133	6.14	20
E1IT615	6.15	60.1212	6.15	20
E1IT616	6.16	60.1105	6.16	20
E1IT617	6.17	60.1006	6.17	20
E1IT618	6.18	60.0917	6.18	20
E1IT619	6.19	60.0836	6.19	20
E1IT620	6.2	60.0761	6.2	20
E1IT621	6.21	60.0694	6.21	20
E1IT622	6.22	60.0632	6.22	20
E1IT623	6.23	60.0576	6.23	20
E1IT624	6.24	60.0525	6.24	20
E1IT625	6.25	60.0478	6.25	20
E1IT626	6.26	60.0436	6.26	20
E1IT627	6.27	60.0397	6.27	20
