!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E8I'  TableTitle=''  Document='D1 LTP time window'		
!Input_Time_S24	>S24	!Input_Time_S48	>S48
5.12	2204.749	5.12	20
5.13	2017.7749	5.13	20
5.14	1846.2676	5.14	20
5.15	1689.2241	5.15	20
5.16	1545.6097	5.16	20
5.17	1414.4004	5.17	20
5.18	1294.608	5.18	20
5.19	1185.2954	5.19	20
5.2	1085.5834	5.2	20
5.21	994.6543	5.21	20
5.22	911.7517	5.22	20
5.23	836.1785	5.23	20
5.24	767.2947	5.24	20
5.25	704.5132	5.25	20
5.26	647.2971	5.26	20
5.27	595.1553	5.27	20
5.28	547.6395	5.28	20
5.29	504.3404	5.29	20
5.3	464.8843	5.3	20
5.31	428.9309	5.31	20
5.32	396.1694	5.32	20
5.33	366.3167	5.33	20
5.34	339.1147	5.34	20
5.35	314.3281	5.35	20
5.36	291.7425	5.36	20
5.37	271.1625	5.37	20
5.38	252.4101	5.38	20
5.39	235.323	5.39	20
5.4	219.7532	5.4	20
5.41	205.5662	5.41	20
5.42	192.639	5.42	20
5.43	180.8598	5.43	20
5.44	170.1267	5.44	20
5.45	160.3467	5.45	20
5.46	151.4353	5.46	20
5.47	143.3152	5.47	20
5.48	135.9163	5.48	20
5.49	129.1745	5.49	20
5.5	123.0313	5.5	20
5.51	117.4337	5.51	20
5.52	112.3332	5.52	20
5.53	107.6857	5.53	20
5.54	103.4509	5.54	20
5.55	99.5922	5.55	20
5.56	96.0761	5.56	20
5.57	92.8723	5.57	20
5.58	89.9531	5.58	20
5.59	87.293	5.59	20
5.6	84.8692	5.6	20
5.61	82.6607	5.61	20
5.62	80.6483	5.62	20
5.63	78.8146	5.63	20
5.64	77.1437	5.64	20
5.65	75.6212	5.65	20
5.66	74.234	5.66	20
5.67	72.9699	5.67	20
5.68	71.8181	5.68	20
5.69	70.7686	5.69	20
5.7	69.8123	5.7	20
5.71	68.9409	5.71	20
5.72	68.1469	5.72	20
5.73	67.4234	5.73	20
5.74	66.7641	5.74	20
5.75	66.1634	5.75	20
5.76	65.6161	5.76	20
5.77	65.1173	5.77	20
5.78	64.6629	5.78	20
5.79	64.2488	5.79	20
5.8	63.8715	5.8	20
5.81	63.5276	5.81	20
5.82	63.2144	5.82	20
5.83	62.9289	5.83	20
