!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E4'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E4T686	6.86	420.4993	4.205	1012.8448	10.1284	2961.3418	29.6134	37719.7828	377.1978
E4T687	6.87	422.0818	4.2208	1008.7995	10.088	2962.0243	29.6202	37702.7044	377.027
E4T688	6.88	423.6652	4.2367	1004.8246	10.0482	2962.6888	29.6269	37685.7387	376.8574
E4T689	6.89	425.2492	4.2525	1000.9197	10.0092	2963.3357	29.6334	37668.8863	376.6889
E4T690	6.9	426.8338	4.2683	997.0845	9.9708	2963.9657	29.6397	37652.1473	376.5215
E4T691	6.91	428.4189	4.2842	993.3188	9.9332	2964.5793	29.6458	37635.5224	376.3552
E4T692	6.92	430.0044	4.3	989.6222	9.8962	2965.177	29.6518	37619.0119	376.1901
E4T693	6.93	431.5901	4.3159	985.9944	9.8599	2965.7594	29.6576	37602.6163	376.0262
E4T694	6.94	433.176	4.3318	982.4353	9.8244	2966.327	29.6633	37586.3359	375.8634
E4T695	6.95	434.762	4.3476	978.9444	9.7894	2966.8802	29.6688	37570.1711	375.7017
E4T696	6.96	436.3479	4.3635	975.5214	9.7552	2967.4196	29.6742	37554.1223	375.5412
E4T697	6.97	437.9337	4.3793	972.1662	9.7217	2967.9455	29.6795	37538.1898	375.3819
E4T698	6.98	439.5191	4.3952	968.8783	9.6888	2968.4585	29.6846	37522.374	375.2237
E4T699	6.99	441.1042	4.411	965.6576	9.6566	2968.959	29.6896	37506.6753	375.0668
E4T700	7	442.6888	4.4269	962.5036	9.625	2969.4473	29.6945	37491.0938	374.9109
E4T701	7.01	444.2728	4.4427	959.4161	9.5942	2969.9239	29.6992	37475.63	374.7563
E4T702	7.02	445.8561	4.4586	956.3948	9.5639	2970.3891	29.7039	37460.2841	374.6028
E4T703	7.03	447.4386	4.4744	953.4393	9.5344	2970.8433	29.7084	37445.0564	374.4506
E4T704	7.04	449.0201	4.4902	950.5495	9.5055	2971.2869	29.7129	37429.9471	374.2995
E4T705	7.05	450.6006	4.506	947.7248	9.4772	2971.7203	29.7172	37414.9565	374.1496
E4T706	7.06	452.18	4.5218	944.9651	9.4497	2972.1437	29.7214	37400.0848	374.0008
E4T707	7.07	453.758	4.5376	942.27	9.4227	2972.5576	29.7256	37385.3322	373.8533
E4T708	7.08	455.3347	4.5533	939.6392	9.3964	2972.9622	29.7296	37370.6989	373.707
E4T709	7.09	456.9099	4.5691	937.0723	9.3707	2973.3578	29.7336	37356.1851	373.5619
E4T710	7.1	458.4835	4.5848	934.569	9.3457	2973.7449	29.7374	37341.791	373.4179
E4T711	7.11	460.0553	4.6006	932.1289	9.3213	2974.1236	29.7412	37327.5166	373.2752
E4T712	7.12	461.6252	4.6163	929.7517	9.2975	2974.4943	29.7449	37313.362	373.1336
E4T713	7.13	463.1932	4.6319	927.437	9.2744	2974.8572	29.7486	37299.3274	372.9933
E4T714	7.14	464.7591	4.6476	925.1845	9.2518	2975.2126	29.7521	37285.4128	372.8541
E4T715	7.15	466.3229	4.6632	922.9938	9.2299	2975.5609	29.7556	37271.6183	372.7162
E4T716	7.16	467.8843	4.6788	920.8646	9.2086	2975.9021	29.759	37257.9439	372.5794
E4T717	7.17	469.4432	4.6944	918.7964	9.188	2976.2366	29.7624	37244.3895	372.4439
E4T718	7.18	470.9997	4.71	916.7889	9.1679	2976.5646	29.7656	37230.9552	372.3096
E4T719	7.19	472.5534	4.7255	914.8417	9.1484	2976.8863	29.7689	37217.6408	372.1764
E4T720	7.2	474.1044	4.741	912.9543	9.1295	2977.202	29.772	37204.4464	372.0445
E4T721	7.21	475.6525	4.7565	911.1265	9.1113	2977.512	29.7751	37191.3718	371.9137
E4T722	7.22	477.1976	4.772	909.3577	9.0936	2977.8163	29.7782	37178.4169	371.7842
E4T723	7.23	478.7395	4.7874	907.6475	9.0765	2978.1152	29.7812	37165.5815	371.6558
E4T724	7.24	480.2782	4.8028	905.9954	9.06	2978.409	29.7841	37152.8654	371.5287
E4T725	7.25	481.8135	4.8181	904.4011	9.044	2978.6978	29.787	37140.2684	371.4027
E4T726	7.26	483.3454	4.8335	902.8641	9.0286	2978.9818	29.7898	37127.7904	371.2779
E4T727	7.27	484.8736	4.8487	901.384	9.0138	2979.2612	29.7926	37115.4309	371.1543
E4T728	7.28	486.3981	4.864	899.9602	8.9996	2979.5362	29.7954	37103.1897	371.0319
E4T729	7.29	487.9188	4.8792	898.5924	8.9859	2979.8069	29.7981	37091.0666	370.9107
E4T730	7.3	489.4356	4.8944	897.2801	8.9728	2980.0735	29.8007	37079.0612	370.7906
E4T731	7.31	490.9483	4.9095	896.0227	8.9602	2980.3362	29.8034	37067.1731	370.6717
E4T732	7.32	492.4568	4.9246	894.8197	8.9482	2980.5951	29.806	37055.4018	370.554
E4T733	7.33	493.961	4.9396	893.6707	8.9367	2980.8504	29.8085	37043.7471	370.4375
E4T734	7.34	495.4609	4.9546	892.5751	8.9258	2981.1023	29.811	37032.2083	370.3221
E4T735	7.35	496.9562	4.9696	891.5324	8.9153	2981.3508	29.8135	37020.785	370.2079
E4T736	7.36	498.4469	4.9845	890.542	8.9054	2981.5962	29.816	37009.4768	370.0948
E4T737	7.37	499.9328	4.9993	889.6035	8.896	2981.8386	29.8184	36998.283	369.9828
E4T738	7.38	501.4139	5.0141	888.7162	8.8872	2982.0781	29.8208	36987.2031	369.872
E4T739	7.39	502.8901	5.0289	887.8796	8.8788	2982.3148	29.8231	36976.2365	369.7624
E4T740	7.4	504.3611	5.0436	887.0932	8.8709	2982.5489	29.8255	36965.3827	369.6538
E4T741	7.41	505.827	5.0583	886.3563	8.8636	2982.7804	29.8278	36954.6409	369.5464
E4T742	7.42	507.2876	5.0729	885.6684	8.8567	2983.0096	29.8301	36944.0105	369.4401
E4T743	7.43	508.7428	5.0874	885.0289	8.8503	2983.2364	29.8324	36933.4909	369.3349
E4T744	7.44	510.1925	5.1019	884.4371	8.8444	2983.4612	29.8346	36923.0813	369.2308
E4T745	7.45	511.6366	5.1164	883.8925	8.8389	2983.6838	29.8368	36912.781	369.1278
E4T746	7.46	513.075	5.1307	883.3946	8.8339	2983.9045	29.839	36902.5893	369.0259
E4T747	7.47	514.5075	5.1451	882.9425	8.8294	2984.1233	29.8412	36892.5053	368.9251
E4T748	7.48	515.9341	5.1593	882.5358	8.8254	2984.3404	29.8434	36882.5284	368.8253
E4T749	7.49	517.3548	5.1735	882.1738	8.8217	2984.5559	29.8456	36872.6578	368.7266
E4T750	7.5	518.7693	5.1877	881.8559	8.8186	2984.7698	29.8477	36862.8925	368.6289
E4T751	7.51	520.1775	5.2018	881.5814	8.8158	2984.9822	29.8498	36853.2319	368.5323
E4T752	7.52	521.5795	5.2158	881.3498	8.8135	2985.1932	29.8519	36843.675	368.4368
E4T753	7.53	522.9751	5.2298	881.1602	8.8116	2985.4029	29.854	36834.221	368.3422
E4T754	7.54	524.3641	5.2436	881.0122	8.8101	2985.6114	29.8561	36824.8691	368.2487
E4T755	7.55	525.7465	5.2575	880.9051	8.8091	2985.8188	29.8582	36815.6183	368.1562
E4T756	7.56	527.1223	5.2712	880.8381	8.8084	2986.0251	29.8603	36806.4678	368.0647
E4T757	7.57	528.4912	5.2849	880.8107	8.8081	2986.2305	29.8623	36797.4167	367.9742
E4T758	7.58	529.8533	5.2985	880.8222	8.8082	2986.4349	29.8643	36788.4641	367.8846
E4T759	7.59	531.2084	5.3121	880.872	8.8087	2986.6385	29.8664	36779.6091	367.7961
E4T760	7.6	532.5565	5.3256	880.9594	8.8096	2986.8413	29.8684	36770.8508	367.7085
E4T761	7.61	533.8974	5.339	881.0838	8.8108	2987.0434	29.8704	36762.1882	367.6219
E4T762	7.62	535.2311	5.3523	881.2444	8.8124	2987.2448	29.8724	36753.6205	367.5362
E4T763	7.63	536.5575	5.3656	881.4407	8.8144	2987.4457	29.8745	36745.1467	367.4515
E4T764	7.64	537.8765	5.3788	881.6721	8.8167	2987.646	29.8765	36736.766	367.3677
E4T765	7.65	539.1881	5.3919	881.9378	8.8194	2987.8459	29.8785	36728.4773	367.2848
E4T766	7.66	540.4921	5.4049	882.2372	8.8224	2988.0454	29.8805	36720.2798	367.2028
E4T767	7.67	541.7885	5.4179	882.5698	8.8257	2988.2445	29.8824	36712.1725	367.1217
E4T768	7.68	543.0772	5.4308	882.9348	8.8293	2988.4433	29.8844	36704.1546	367.0415
E4T769	7.69	544.3581	5.4436	883.3317	8.8333	2988.6418	29.8864	36696.2251	366.9623
E4T770	7.7	545.6311	5.4563	883.7598	8.8376	2988.8402	29.8884	36688.3831	366.8838
E4T771	7.71	546.8963	5.469	884.2185	8.8422	2989.0383	29.8904	36680.6277	366.8063
E4T772	7.72	548.1535	5.4815	884.7073	8.8471	2989.2364	29.8924	36672.958	366.7296
E4T773	7.73	549.4026	5.494	885.2255	8.8523	2989.4344	29.8943	36665.3731	366.6537
E4T774	7.74	550.6436	5.5064	885.7724	8.8577	2989.6323	29.8963	36657.8721	366.5787
E4T775	7.75	551.8764	5.5188	886.3477	8.8635	2989.8302	29.8983	36650.4541	366.5045
E4T776	7.76	553.101	5.531	886.9505	8.8695	2990.0282	29.9003	36643.1182	366.4312
E4T777	7.77	554.3173	5.5432	887.5805	8.8758	2990.2263	29.9023	36635.8635	366.3586
E4T778	7.78	555.5252	5.5553	888.237	8.8824	2990.4245	29.9042	36628.6892	366.2869
E4T779	7.79	556.7247	5.5672	888.9194	8.8892	2990.6228	29.9062	36621.5944	366.2159
